day,fire_id,demand,outside_gacc
171,97,1,True
174,98,1,False
175,99,1,False
175,100,1,True
176,99,1,False
177,99,1,False
178,99,1,False
178,101,4,False
179,101,4,False
179,99,1,False
180,101,1,False
181,101,1,False
182,101,1,False
182,102,1,False
183,102,1,False
183,101,1,False
184,102,1,False
184,101,1,False
185,102,1,False
185,101,1,False
186,101,1,False
186,102,1,False
186,103,2,False
187,104,1,False
188,104,1,False
249,105,1,True
