720.0,480.0,240.0,480.0,480.0,240.0,480.0,240.0,240.0,240.0,480.0,240.0,240.0,240.0
720.0,720.0,480.0,480.0,720.0,480.0,720.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0
240.0,480.0,480.0,240.0,720.0,480.0,720.0,480.0,480.0,480.0,240.0,480.0,480.0,480.0
720.0,480.0,240.0,480.0,480.0,240.0,480.0,240.0,240.0,240.0,480.0,240.0,240.0,240.0
720.0,480.0,480.0,720.0,480.0,480.0,240.0,240.0,240.0,480.0,720.0,480.0,480.0,240.0
480.0,480.0,240.0,240.0,720.0,480.0,720.0,480.0,480.0,240.0,240.0,240.0,240.0,480.0
480.0,240.0,240.0,480.0,480.0,240.0,480.0,240.0,240.0,240.0,480.0,240.0,240.0,240.0
720.0,480.0,240.0,480.0,480.0,240.0,480.0,240.0,240.0,240.0,480.0,240.0,240.0,240.0
720.0,480.0,240.0,480.0,720.0,240.0,480.0,240.0,240.0,240.0,480.0,240.0,240.0,240.0
480.0,480.0,240.0,240.0,480.0,240.0,480.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
720.0,720.0,480.0,480.0,720.0,480.0,720.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0
480.0,240.0,240.0,240.0,480.0,240.0,480.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
