fire1_id,fire1_date,fire1_latitude,fire1_longitude,fire2_id,fire2_date,fire2_latitude,fire2_longitude,distance_km,duration_min
9025313,2018-07-29 13:45:00,35.46,-111.75,9228844,2018-08-06 19:45:00,47.98,-119.42,2063.6039,1494.6916666666666
9025313,2018-07-29 13:45:00,35.46,-111.75,9231325,2018-08-03 15:45:00,33.34,-97.62,1495.7033000000001,1015.2
9025313,2018-07-29 13:45:00,35.46,-111.75,9231453,2018-08-03 18:30:00,41.81,-112.67,1010.1269,780.2916666666666
9025313,2018-07-29 13:45:00,35.46,-111.75,9231915,2018-08-04 06:00:00,32.47,-98.57,1461.5218,996.8016666666666
9025313,2018-07-29 13:45:00,35.46,-111.75,9232042,2018-08-03 14:00:00,35.4,-118.77,806.8744,584.23
9025313,2018-07-29 13:45:00,35.46,-111.75,9250771,2018-08-02 19:45:00,36.36,-112.3,331.9482,548.8133333333334
9025313,2018-07-29 13:45:00,35.46,-111.75,9251016,2018-07-27 17:00:00,40.5,-112.96,863.3136,789.13
9025313,2018-07-29 13:45:00,35.46,-111.75,9251374,2018-07-29 19:30:00,39.3,-109.87,663.6855,776.135
9025313,2018-07-29 13:45:00,35.46,-111.75,9255966,2018-07-28 14:15:00,38.46,-111.48,619.7167,693.15
9025313,2018-07-29 13:45:00,35.46,-111.75,9256131,2018-07-27 19:30:00,47.79,-119.98,2091.0477,1502.4283333333333
9025313,2018-07-29 13:45:00,35.46,-111.75,9268919,2018-07-28 08:30:00,47.03,-121.7,2101.2237,1541.915
9025313,2018-07-29 13:45:00,35.46,-111.75,9269467,2018-07-28 01:00:00,34.61,-110.82,199.5936,254.95166666666668
9038064,2018-08-03 07:30:00,47.84,-115.96,9039170,2018-08-03 15:30:00,47.51,-113.18,506.1816,729.0633333333334
9038064,2018-08-03 07:30:00,47.84,-115.96,9040829,2018-08-02 19:15:00,46.73,-119.34,361.47990000000004,306.8683333333333
9038064,2018-08-03 07:30:00,47.84,-115.96,9041592,2018-08-05 13:30:00,40.71,-110.94,1182.84,804.45
9038064,2018-08-03 07:30:00,47.84,-115.96,9041835,2018-08-02 07:07:30,45.42,-121.24,622.4484,488.14666666666665
9038064,2018-08-03 07:30:00,47.84,-115.96,9043001,2018-08-02 13:30:00,41.96,-113.82,1025.0601,764.6316666666667
9038064,2018-08-03 07:30:00,47.84,-115.96,9045476,2018-08-03 02:00:00,38.34,-119.92,1541.2215,1192.7433333333333
9038064,2018-08-03 07:30:00,47.84,-115.96,9048237,2018-08-02 16:52:30,44.85,-114.3,580.3163000000001,562.435
9038064,2018-08-03 07:30:00,47.84,-115.96,9052758,2018-08-02 19:30:00,42.07,-114.62,1072.2016,796.1983333333334
9038064,2018-08-03 07:30:00,47.84,-115.96,9062347,2018-07-28 07:30:00,33.94,-111.99,2113.5626,1479.84
9038064,2018-08-03 07:30:00,47.84,-115.96,9063512,2018-07-28 15:30:00,41.52,-108.78,1236.6814,896.1866666666666
9038064,2018-08-03 07:30:00,47.84,-115.96,9063927,2018-07-28 14:22:30,46.34,-115.87,411.5211,383.56
