20778,1,2,22628,0
20778,1,2,22258,420
20778,1,2,21888,630
20778,1,2,21518,910
20778,1,2,21148,1120
20778,1,2,20778,1400
21518,2,3,24110,0
21518,2,3,23740,280
21518,2,3,23370,560
21518,2,3,23000,770
21518,2,3,22630,1050
21518,2,3,22260,1330
22258,2,3,25222,0
22258,2,3,24852,420
22258,2,3,24482,700
22258,2,3,24112,980
22258,2,3,23742,1190
22258,2,3,23372,1470
21888,2,3,24481,0
21888,2,3,24111,280
21888,2,3,23741,560
21888,2,3,23371,770
21888,2,3,23001,1050
21888,2,3,22631,1330
22628,2,3,25593,0
22628,2,3,25223,280
22628,2,3,24853,560
22628,2,3,24483,840
22628,2,3,24113,1050
22628,2,3,23743,1330
20778,2,3,23368,0
20778,2,3,22998,490
20778,2,3,22628,770
20778,2,3,22258,980
20778,2,3,21888,1260
21148,2,3,22999,0
21148,2,3,22629,350
21148,2,3,22259,630
21148,2,3,21889,910
21148,2,3,21519,1120
21148,2,3,21149,1400
22630,3,4,25593,0
22630,3,4,25223,490
22630,3,4,24853,700
22630,3,4,24483,980
22630,3,4,24113,1190
22630,3,4,23743,1470
22258,3,4,25222,0
22258,3,4,24852,420
22258,3,4,24482,630
22258,3,4,24112,910
22258,3,4,23742,1190
22258,3,4,23372,1400
24110,3,4,26707,0
24110,3,4,26337,420
24110,3,4,25967,630
24110,3,4,25597,910
24110,3,4,25227,1120
24110,3,4,24857,1400
24113,3,4,27447,0
24113,3,4,27077,350
24113,3,4,26707,560
24113,3,4,26337,770
24113,3,4,25967,1050
24113,3,4,25597,1260
24482,3,4,27448,0
24482,3,4,27078,280
24482,3,4,26708,490
24482,3,4,26338,770
24482,3,4,25968,1050
24482,3,4,25598,1260
21149,3,4,23739,0
21149,3,4,23369,490
21149,3,4,22999,770
21149,3,4,22629,1050
21149,3,4,22259,1260
25222,3,4,27450,0
25222,3,4,27080,560
25222,3,4,26710,770
25222,3,4,26340,1050
25222,3,4,25970,1260
22998,3,4,25964,0
22998,3,4,25594,350
22998,3,4,25224,490
22998,3,4,24854,770
22998,3,4,24484,1050
22998,3,4,24114,1260
23001,3,4,25964,0
23001,3,4,25594,490
23001,3,4,25224,700
23001,3,4,24854,980
23001,3,4,24484,1260
23001,3,4,24114,1470
23370,3,4,26335,0
23370,3,4,25965,350
23370,3,4,25595,560
23370,3,4,25225,840
23370,3,4,24855,1050
23370,3,4,24485,1330
23741,3,4,26706,0
23741,3,4,26336,350
23741,3,4,25966,560
23741,3,4,25596,840
23741,3,4,25226,1050
23741,3,4,24856,1330
24853,3,4,27449,0
24853,3,4,27079,490
24853,3,4,26709,770
24853,3,4,26339,980
24853,3,4,25969,1260
24853,3,4,25599,1470
21889,3,4,24111,0
21889,3,4,23741,490
21889,3,4,23371,770
21889,3,4,23001,980
21889,3,4,22631,1260
21889,3,4,22261,1470
25593,3,4,27821,0
25593,3,4,27451,560
25593,3,4,27081,770
25593,3,4,26711,1050
25593,3,4,26341,1330
22260,3,4,25222,0
22260,3,4,24852,350
22260,3,4,24482,560
22260,3,4,24112,840
22260,3,4,23742,1050
22260,3,4,23372,1330
22629,3,4,25593,0
22629,3,4,25223,490
22629,3,4,24853,700
22629,3,4,24483,980
22629,3,4,24113,1190
22629,3,4,23743,1470
24112,3,4,27077,0
24112,3,4,26707,350
24112,3,4,26337,630
24112,3,4,25967,840
24112,3,4,25597,1120
24112,3,4,25227,1330
24481,3,4,27078,0
24481,3,4,26708,350
24481,3,4,26338,630
24481,3,4,25968,840
24481,3,4,25598,1120
24481,3,4,25228,1330
23000,3,4,25964,0
23000,3,4,25594,490
23000,3,4,25224,700
23000,3,4,24854,980
23000,3,4,24484,1190
23000,3,4,24114,1470
23740,3,4,26706,0
23740,3,4,26336,350
23740,3,4,25966,490
23740,3,4,25596,770
23740,3,4,25226,1050
23740,3,4,24856,1260
23372,3,4,26335,0
23372,3,4,25965,490
23372,3,4,25595,700
23372,3,4,25225,980
23372,3,4,24855,1260
23372,3,4,24485,1470
23743,3,4,26706,0
23743,3,4,26336,560
23743,3,4,25966,770
23743,3,4,25596,1050
23743,3,4,25226,1260
21888,3,4,24111,0
21888,3,4,23741,490
21888,3,4,23371,770
21888,3,4,23001,980
21888,3,4,22631,1260
21888,3,4,22261,1470
24852,3,4,27449,0
24852,3,4,27079,350
24852,3,4,26709,630
24852,3,4,26339,840
24852,3,4,25969,1120
24852,3,4,25599,1330
22628,3,4,25593,0
22628,3,4,25223,350
22628,3,4,24853,560
22628,3,4,24483,840
22628,3,4,24113,1050
22628,3,4,23743,1330
21519,3,4,23370,0
21519,3,4,23000,350
21519,3,4,22630,560
21519,3,4,22260,840
21519,3,4,21890,1050
21519,3,4,21520,1330
22631,3,4,25593,0
22631,3,4,25223,420
22631,3,4,24853,630
22631,3,4,24483,840
22631,3,4,24113,1120
22631,3,4,23743,1330
22259,3,4,25222,0
22259,3,4,24852,420
22259,3,4,24482,700
22259,3,4,24112,910
22259,3,4,23742,1190
22259,3,4,23372,1400
24483,3,4,27448,0
24483,3,4,27078,350
24483,3,4,26708,630
24483,3,4,26338,840
24483,3,4,25968,1120
24483,3,4,25598,1330
24111,3,4,27077,0
24111,3,4,26707,350
24111,3,4,26337,560
24111,3,4,25967,770
24111,3,4,25597,1050
24111,3,4,25227,1260
25223,3,4,27820,0
25223,3,4,27450,350
25223,3,4,27080,560
25223,3,4,26710,770
25223,3,4,26340,1050
25223,3,4,25970,1330
23368,3,4,25965,0
23368,3,4,25595,350
23368,3,4,25225,630
23368,3,4,24855,910
23368,3,4,24485,1120
23368,3,4,24115,1400
23371,3,4,26335,0
23371,3,4,25965,490
23371,3,4,25595,700
23371,3,4,25225,980
23371,3,4,24855,1190
23371,3,4,24485,1470
22999,3,4,25964,0
22999,3,4,25594,350
22999,3,4,25224,560
22999,3,4,24854,840
22999,3,4,24484,1050
22999,3,4,24114,1330
23742,3,4,26706,0
23742,3,4,26336,490
23742,3,4,25966,770
23742,3,4,25596,1050
23742,3,4,25226,1260
25597,4,5,28561,0
25597,4,5,28191,490
25597,4,5,27821,770
25597,4,5,27451,980
25597,4,5,27081,1260
25966,4,5,28562,0
25966,4,5,28192,560
25966,4,5,27822,770
25966,4,5,27452,1050
25966,4,5,27082,1260
24113,4,5,27447,0
24113,4,5,27077,420
24113,4,5,26707,630
24113,4,5,26337,840
24113,4,5,25967,1120
24113,4,5,25597,1330
24482,4,5,27448,0
24482,4,5,27078,350
24482,4,5,26708,560
24482,4,5,26338,840
24482,4,5,25968,1050
24482,4,5,25598,1330
25228,4,5,28190,0
25228,4,5,27820,420
25228,4,5,27450,630
25228,4,5,27080,910
25228,4,5,26710,1120
25228,4,5,26340,1400
26708,4,5,29304,0
26708,4,5,28934,490
26708,4,5,28564,770
26708,4,5,28194,980
26708,4,5,27824,1260
24853,4,5,27819,0
24853,4,5,27449,350
24853,4,5,27079,560
24853,4,5,26709,840
24853,4,5,26339,1050
24853,4,5,25969,1330
21520,4,5,24110,0
21520,4,5,23740,490
21520,4,5,23370,770
21520,4,5,23000,980
21520,4,5,22630,1260
21520,4,5,22260,1470
25968,4,5,28932,0
25968,4,5,28562,560
25968,4,5,28192,770
25968,4,5,27822,1050
25968,4,5,27452,1260
27448,4,5,30046,0
27448,4,5,29676,350
27448,4,5,29306,630
27448,4,5,28936,840
27448,4,5,28566,1120
27448,4,5,28196,1330
24115,4,5,27077,0
24115,4,5,26707,490
24115,4,5,26337,770
24115,4,5,25967,980
24115,4,5,25597,1260
24115,4,5,25227,1470
24484,4,5,27818,0
24484,4,5,27448,420
24484,4,5,27078,630
24484,4,5,26708,840
24484,4,5,26338,1120
24484,4,5,25968,1330
26710,4,5,29674,0
26710,4,5,29304,490
26710,4,5,28934,770
26710,4,5,28564,980
26710,4,5,28194,1260
27079,4,5,29675,0
27079,4,5,29305,490
27079,4,5,28935,700
27079,4,5,28565,980
27079,4,5,28195,1190
27079,4,5,27825,1470
24855,4,5,28189,0
24855,4,5,27819,350
24855,4,5,27449,560
24855,4,5,27079,840
24855,4,5,26709,1120
24855,4,5,26339,1330
25970,4,5,28932,0
25970,4,5,28562,420
25970,4,5,28192,630
25970,4,5,27822,910
25970,4,5,27452,1190
25970,4,5,27082,1400
27450,4,5,30046,0
27450,4,5,29676,490
27450,4,5,29306,700
27450,4,5,28936,980
27450,4,5,28566,1190
27450,4,5,28196,1470
25223,4,5,27820,0
25223,4,5,27450,420
25223,4,5,27080,630
25223,4,5,26710,840
25223,4,5,26340,1120
25223,4,5,25970,1330
23739,4,5,26336,0
23739,4,5,25966,420
23739,4,5,25596,700
23739,4,5,25226,910
23739,4,5,24856,1190
23739,4,5,24486,1400
27081,4,5,30045,0
27081,4,5,29675,490
27081,4,5,29305,770
27081,4,5,28935,980
27081,4,5,28565,1260
27081,4,5,28195,1470
24857,4,5,27819,0
24857,4,5,27449,490
24857,4,5,27079,700
24857,4,5,26709,980
24857,4,5,26339,1260
24857,4,5,25969,1470
22630,4,5,25593,0
22630,4,5,25223,560
22630,4,5,24853,770
22630,4,5,24483,1050
22630,4,5,24113,1260
27821,4,5,30417,0
27821,4,5,30047,490
27821,4,5,29677,770
27821,4,5,29307,980
27821,4,5,28937,1260
27821,4,5,28567,1470
25225,4,5,27820,0
25225,4,5,27450,560
25225,4,5,27080,840
25225,4,5,26710,1050
25225,4,5,26340,1330
26337,4,5,28933,0
26337,4,5,28563,560
26337,4,5,28193,770
26337,4,5,27823,1050
26337,4,5,27453,1260
23741,4,5,26706,0
23741,4,5,26336,420
23741,4,5,25966,630
23741,4,5,25596,910
23741,4,5,25226,1120
23741,4,5,24856,1400
25965,4,5,28562,0
25965,4,5,28192,420
25965,4,5,27822,630
25965,4,5,27452,910
25965,4,5,27082,1120
25965,4,5,26712,1400
25599,4,5,28561,0
25599,4,5,28191,420
25599,4,5,27821,630
25599,4,5,27451,910
25599,4,5,27081,1120
25599,4,5,26711,1400
24112,4,5,27077,0
24112,4,5,26707,420
24112,4,5,26337,630
24112,4,5,25967,910
24112,4,5,25597,1120
24112,4,5,25227,1400
25227,4,5,28190,0
25227,4,5,27820,490
25227,4,5,27450,770
25227,4,5,27080,980
25227,4,5,26710,1260
26707,4,5,29304,0
26707,4,5,28934,420
26707,4,5,28564,630
26707,4,5,28194,910
26707,4,5,27824,1120
26707,4,5,27454,1400
26339,4,5,29303,0
26339,4,5,28933,560
26339,4,5,28563,770
26339,4,5,28193,1050
26339,4,5,27823,1260
23743,4,5,27076,0
23743,4,5,26706,350
23743,4,5,26336,630
23743,4,5,25966,840
23743,4,5,25596,1120
23743,4,5,25226,1330
22259,4,5,25222,0
22259,4,5,24852,490
22259,4,5,24482,770
22259,4,5,24112,980
22259,4,5,23742,1260
22259,4,5,23372,1470
27447,4,5,30046,0
27447,4,5,29676,350
27447,4,5,29306,630
27447,4,5,28936,840
27447,4,5,28566,1120
27447,4,5,28196,1330
24483,4,5,27448,0
24483,4,5,27078,420
24483,4,5,26708,630
24483,4,5,26338,910
24483,4,5,25968,1190
24483,4,5,25598,1400
22999,4,5,25964,0
22999,4,5,25594,420
22999,4,5,25224,630
22999,4,5,24854,910
22999,4,5,24484,1120
22999,4,5,24114,1400
26709,4,5,29304,0
26709,4,5,28934,560
26709,4,5,28564,770
26709,4,5,28194,1050
26709,4,5,27824,1330
26341,4,5,29303,0
26341,4,5,28933,420
26341,4,5,28563,630
26341,4,5,28193,910
26341,4,5,27823,1190
26341,4,5,27453,1400
27078,4,5,29675,0
27078,4,5,29305,350
27078,4,5,28935,630
27078,4,5,28565,840
27078,4,5,28195,1120
27078,4,5,27825,1330
25594,4,5,28191,0
25594,4,5,27821,350
25594,4,5,27451,630
25594,4,5,27081,910
25594,4,5,26711,1120
25594,4,5,26341,1400
22261,4,5,24482,0
22261,4,5,24112,420
22261,4,5,23742,700
22261,4,5,23372,910
22261,4,5,23002,1190
22261,4,5,22632,1470
24485,4,5,27818,0
24485,4,5,27448,350
24485,4,5,27078,630
24485,4,5,26708,840
24485,4,5,26338,1120
24485,4,5,25968,1400
23001,4,5,25964,0
23001,4,5,25594,560
23001,4,5,25224,770
23001,4,5,24854,1050
23001,4,5,24484,1260
23370,4,5,26335,0
23370,4,5,25965,420
23370,4,5,25595,630
23370,4,5,25225,910
23370,4,5,24855,1120
23370,4,5,24485,1400
27080,4,5,29675,0
27080,4,5,29305,490
27080,4,5,28935,770
27080,4,5,28565,1050
27080,4,5,28195,1260
25596,4,5,28191,0
25596,4,5,27821,560
25596,4,5,27451,840
25596,4,5,27081,1050
25596,4,5,26711,1330
27820,4,5,30047,0
27820,4,5,29677,560
27820,4,5,29307,840
27820,4,5,28937,1050
27820,4,5,28567,1330
26336,4,5,28933,0
26336,4,5,28563,420
