13358,1,2,21128,0
13358,1,2,20758,490
13358,1,2,20388,700
13358,1,2,20018,770
13358,1,2,19278,840
13358,1,2,18908,910
13358,1,2,18168,980
13358,1,2,17798,1050
13358,1,2,17428,1120
13358,1,2,16688,1190
13358,1,2,16318,1260
13358,1,2,15578,1330
13358,1,2,15208,1400
13358,1,2,14838,1470
20018,2,3,21516,0
20018,2,3,21146,490
20018,2,3,20776,770
20018,2,3,20406,980
20018,2,3,20036,1050
20018,2,3,1,1120
18168,2,3,21141,0
18168,2,3,20771,490
18168,2,3,20401,700
18168,2,3,20031,770
18168,2,3,19291,840
18168,2,3,18921,910
18168,2,3,18551,980
18168,2,3,1,1050
16318,2,3,20766,0
16318,2,3,20026,560
16318,2,3,19656,630
16318,2,3,19286,700
16318,2,3,18546,770
16318,2,3,18176,840
16318,2,3,17436,910
16318,2,3,17066,980
16318,2,3,16696,1050
16318,2,3,1,1120
20758,2,3,21888,0
20758,2,3,21518,420
20758,2,3,21148,630
20758,2,3,20778,910
20758,2,3,1,1120
16688,2,3,20767,0
16688,2,3,20027,560
16688,2,3,19657,630
16688,2,3,18917,700
16688,2,3,18547,770
16688,2,3,18177,840
16688,2,3,17437,910
16688,2,3,17067,980
16688,2,3,1,1050
14838,2,3,19282,0
14838,2,3,18912,350
14838,2,3,18172,420
14838,2,3,17802,490
14838,2,3,17062,560
14838,2,3,16692,630
14838,2,3,16322,700
14838,2,3,15582,770
14838,2,3,15212,840
14838,2,3,1,910
21128,2,3,21889,0
21128,2,3,21519,560
21128,2,3,21149,840
21128,2,3,1,1050
19278,2,3,21514,0
19278,2,3,21144,490
19278,2,3,20774,770
19278,2,3,20034,1050
19278,2,3,19664,1120
19278,2,3,1,1190
17428,2,3,20769,0
17428,2,3,20399,560
17428,2,3,20029,630
17428,2,3,19289,700
17428,2,3,18919,770
17428,2,3,18549,840
17428,2,3,17809,910
17428,2,3,17439,980
17428,2,3,1,1050
15208,2,3,19653,0
15208,2,3,19283,350
15208,2,3,18913,420
15208,2,3,18543,490
15208,2,3,17803,560
15208,2,3,17433,630
15208,2,3,16693,700
15208,2,3,16323,770
15208,2,3,15953,840
15208,2,3,15213,910
15208,2,3,1,980
17798,2,3,21140,0
17798,2,3,20770,420
17798,2,3,20030,700
17798,2,3,19660,770
17798,2,3,18920,840
17798,2,3,18550,910
17798,2,3,18180,980
17798,2,3,1,1050
18908,2,3,21513,0
18908,2,3,21143,350
18908,2,3,20773,630
18908,2,3,20403,840
18908,2,3,20033,910
18908,2,3,19663,980
18908,2,3,18923,1050
18908,2,3,1,1120
20388,2,3,21517,0
20388,2,3,21147,490
20388,2,3,20777,700
20388,2,3,1,980
15578,2,3,19654,0
15578,2,3,19284,420
15578,2,3,18544,490
15578,2,3,18174,560
15578,2,3,17804,630
15578,2,3,17064,700
15578,2,3,16694,770
15578,2,3,15954,840
15578,2,3,15584,910
15578,2,3,1,980
1,3,4,1,0
19282,3,4,21514,0
19282,3,4,21144,350
19282,3,4,20774,560
19282,3,4,20404,840
19282,3,4,19664,910
19282,3,4,19294,980
19282,3,4,1,1050
21518,3,4,22260,0
21518,3,4,21890,560
21518,3,4,21520,840
21518,3,4,1,1050
15212,3,4,18543,0
15212,3,4,17803,420
15212,3,4,17433,490
15212,3,4,16693,560
15212,3,4,16323,630
15212,3,4,15953,700
15212,3,4,15213,770
15212,3,4,1,840
19291,3,4,21144,0
19291,3,4,20774,420
19291,3,4,20034,700
19291,3,4,19664,770
19291,3,4,1,840
